date,startup,vertical,subvertical,city,investors,round,amount,year,month
2017-01-20,Ethosh,Technology,Visual and Interactive communications Solutions,Pune,Deepak Nathani,Seed Funding,0,2017,1
2017-01-20,Wydr,eCommerce,B2B Wholesale Marketplace in India,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,0,2017,1
2017-01-20,Tyre Express,Technology,IoT platform for Tyre Performance management & tracking,Mumbai,IvyCamp Ventures,Seed Funding,0,2017,1
2017-01-20,Connaizen,Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,0,2017,1
2017-01-22,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,50000,2017,1
2017-01-23,SmartHi,Technology,Audit automation Solutions,Pune,Singapore based investor,Seed Funding,0,2017,1
2017-01-23,CRON Systems,Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,0,2017,1
2017-01-23,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,15000000,2017,1
2017-01-23,ChipperSage,Technology,Online learning platform,Bangalore,India Educational Investment Fund,Seed Funding,0,2017,1
2017-01-24,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,0,2017,1
2017-01-24,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,500000,2017,1
2017-01-24,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,10000000,2017,1
2017-01-24,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,4000000,2017,1
2017-01-24,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,0,2017,1
2017-01-25,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others",Seed Funding,0,2017,1
2017-01-25,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,4000000,2017,1
2017-01-25,LoyaltyPrime,Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,0,2017,1
2017-01-25,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,2200000,2017,1
2017-01-25,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,8800000,2017,1
2017-01-02,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,0,2017,1
2017-01-26,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,1400000,2017,1
2017-01-26,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,300000,2017,1
2017-01-26,Kochi Post,Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,0,2017,1
2017-01-30,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000,2017,1
2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,22500,2017,1
2017-01-30,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,68000,2017,1
2017-01-30,Maptags,Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,18000,2017,1
2017-01-30,YOLO Health,Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,0,2017,1
2017-01-31,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,2000000,2017,1
2017-01-31,Register My Marriage,Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,0,2017,1
2016-12-01,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,1200000,2016,12
2016-12-01,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,4000000,2016,12
2016-12-01,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,3600000,2016,12
2016-12-02,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,100000,2016,12
2016-12-02,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,0,2016,12
2016-12-02,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,3000000,2016,12
2016-12-05,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,0,2016,12
2016-12-05,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000,2016,12
2016-12-05,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,0,2016,12
2016-12-06,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,147000,2016,12
2016-12-06,THB,Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,0,2016,12
2016-12-07,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,0,2016,12
2016-12-07,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,0,2016,12
2016-12-07,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,0,2016,12
2016-12-07,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,0,2016,12
2016-12-07,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,9000000,2016,12
2016-12-07,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,440000,2016,12
2016-12-07,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,0,2016,12
2016-12-08,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,6500000,2016,12
2016-12-08,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,250000,2016,12
2016-12-09,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,6000000,2016,12
2016-12-09,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,0,2016,12
2016-12-09,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,450000,2016,12
2016-12-09,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,250000,2016,12
2016-12-12,Xseed Education,Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,10000000,2016,12
2016-12-12,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,200000,2016,12
2016-12-12,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,2000000,2016,12
2016-12-12,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"Axilor, undisclosed investors",Seed Funding,0,2016,12
2016-12-12,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,2000000,2016,12
2016-12-13,Indifi,Consumer Internet,Online lending platform,Gurgaon,Omidyar Network,Private Equity,10000000,2016,12
2016-12-13,GoComet,Logistics,Marketplace for International Freight,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,0,2016,12
2016-12-13,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,11100000,2016,12
2016-12-14,Fitmein,Consumer Internet,Fitness Discovery & Booking platform,New Delhi,"FiNC, GHV",Seed Funding,0,2016,12
2016-12-14,Qacco,Consumer Internet,Hotel Booking platform,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,150000,2016,12
2016-12-14,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,1000000,2016,12
2016-12-14,MoEngage,Technology,User analytics and engagement platform,Bangalore,Anand Chandrasekaran,Seed Funding,0,2016,12
2016-12-14,Ten3t Health,Technology,medical grade wearable patch maker,Bangalore,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,0,2016,12
2016-12-14,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,297000,2016,12
2016-12-15,SERV\\xe2\\x80\\x99D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,100000,2016,12
2016-12-15,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,10000000,2016,12
2016-12-15,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,35000000,2016,12
2016-12-15,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,3000000,2016,12
2016-12-16,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,23000000,2016,12
2016-12-16,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,123000,2016,12
2016-12-19,Events High,Consumer Internet,Events & Activities Marketplace,Bangalore,Axilor Ventures,Private Equity,0,2016,12
2016-12-19,NoBroker,Consumer Internet,Rental property search portal,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,7400000,2016,12
2016-12-20,VivoCarat,eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,50000,2016,12
2016-12-20,Tiyo,Consumer Internet,Doctor Search Mobile App,Kolkata,Ajith Nair,Seed Funding,0,2016,12
2016-12-20,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,Cyber Carrier CL,Private Equity,0,2016,12
2016-12-20,BYJU\\xe2\\x80\\x99s,Consumer Internet,Online Learning platform,Bangalore,International Financial Corporation,Private Equity,15000000,2016,12
2016-12-21,Supr Daily,Consumer Internet,Daily Subscription based Delivery service,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,0,2016,12
2016-12-21,The BlueBook,Consumer Internet,online to offline marketing platform,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,500000,2016,12
2016-12-21,MamaEarth,eCommerce,Babycare Products seller,New Delhi,Fireside Ventures & Others,Seed Funding,0,2016,12
2016-12-21,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,162000,2016,12
2016-12-22,Innoplexus,Technology,Data as a Service Provider,Pune,HCS Venture capital fund,Private Equity,0,2016,12
2016-12-22,Mindler,Consumer Internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,324000,2016,12
2016-12-22,MCaffeine,eCommerce,Personal care product etailer,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,300000,2016,12
2016-12-23,enKast,Technology,Cloud based CRM for Agencies,Bangalore,Ivy League Alumni Angel Network,Private Equity,2000000,2016,12
2016-12-23,ShopKirana,eCommerce,B2B platform for Merchants & Retailers,Indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,0,2016,12
2016-12-23,MyAdvo,Consumer Internet,Legal Advice Platform,New Delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,0,2016,12
2016-12-23,Asocon,Technology,Process management startup,Noida,Quarizon,Seed Funding,0,2016,12
2016-12-23,LexComply,Consumer Internet,Compliance Management Software,New Delhi,Ajay Relan,Seed Funding,0,2016,12
2016-12-26,The Postbox,eCommerce,Art & Lifestyle ECommerce Store,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,0,2016,12
2016-12-26,Pandorum Technologies,Technology,3D printed experimental Human Liver tissue creator,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0,2016,12
2016-12-26,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,1200000,2016,12
2016-12-26,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,10000000,2016,12
2016-12-27,ShopX,eCommerce,SAAS ECommerce Retail app,Bangalore,Nandan Nilekani,Private Equity,5000000,2016,12
2016-12-28,BookEventz,Consumer Internet,Online event-booking platform,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,0,2016,12
2016-12-29,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,1000000,2016,12
2016-12-29,LetsMD,Consumer Internet,Healthcare plan comparison platform,New Delhi,"WaterBridge Ventures,",Seed Funding,0,2016,12
2016-12-29,Justbooks,Consumer Internet,Library Chain Aggregator,Bangalore,CoCreate Ventures,Seed Funding,0,2016,12
2016-12-30,InstantPay,Consumer Internet,Digital payments & recharge platform,New Delhi,"RB Investments,\\xc2\\xa0 Kaleden Holdings",Private Equity,0,2016,12
2016-11-01,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000,2016,11
2016-11-02,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000,2016,11
2016-11-02,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,150000,2016,11
2016-11-02,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,0,2016,11
2016-11-02,Sattviko,Food & Beverage,Health Food Restaurant Chain,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,0,2016,11
2016-11-03,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,6000000,2016,11
2016-11-03,DoSelect,Consumer Internet,Skill Showcasing platform,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,0,2016,11
2016-11-03,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,10000000,2016,11
2016-11-04,Browntape,Technology,cloud-based software solutions company,Goa,Gati Ltd,Private Equity,0,2016,11
2016-11-04,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,1000000,2016,11
2016-11-04,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,150000,2016,11
2016-11-04,vImmune,Consumer Internet,Immunisation Management Platform,Bangalore,Undisclosed investor,Seed Funding,0,2016,11
2016-11-04,The Gourmet Jar,eCommerce,Gourmet Food etailer,Noida,Chandigarh Angels Network,Seed Funding,0,2016,11
2016-11-05,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,45000,2016,11
2016-11-05,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000,2016,11
2016-11-07,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,75000000,2016,11
2016-11-07,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000,2016,11
2016-11-09,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,2000000,2016,11
2016-11-09,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,12000000,2016,11
2016-11-10,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,1000000,2016,11
2016-11-10,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,0,2016,11
2016-11-10,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,0,2016,11
2016-11-11,Life in Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,0,2016,11
2016-11-14,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,3000000,2016,11
2016-11-14,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,2000000,2016,11
2016-11-15,NoBroker,Consumer Internet,Online Rental discovery,Bangalore,Vijay Shekhar Sharma,Seed Funding,0,2016,11
2016-11-15,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,6000000,2016,11
2016-11-15,PlaySimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,4000000,2016,11
2016-11-16,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,5000000,2016,11
2016-11-17,Scienaptic,Technology,Data Analytics platform,Bangalore,Pramod Bhasin,Seed Funding,0,2016,11
2016-11-17,Koovs,eCommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,13500000,2016,11
2016-11-17,Lawrato,Consumer Internet,Free Legal Advice,New Delhi,Indian Angel Network,Seed Funding,0,2016,11
2016-11-17,Trip Tap Toe,Consumer Internet,Online Travel Portal,Gurgaon,R.S Sharma,Seed Funding,0,2016,11
2016-11-17,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,147000,2016,11
2016-11-18,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,1000000,2016,11
2016-11-18,AerMed,eCommerce,Online Pharmacy,Mumbai,Hitesh Windlass,Seed Funding,0,2016,11
2016-11-18,WorkIndia,Consumer Internet,Job Board for Clue Collar Jobs,Mumbai,Asuka Holdings,Seed Funding,0,2016,11
2016-11-21,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,90000,2016,11
2016-11-21,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,650000,2016,11
2016-11-22,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,5000000,2016,11
2016-11-22,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,147000,2016,11
2016-11-22,VoLT,Consumer Internet,Ed-Tech Platform,Mumbai,YMS Mobitech,Seed Funding,0,2016,11
2016-11-22,Vymo,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,5000000,2016,11
2016-11-22,ShubhLoans,Technology,Consumer Finance & Credit Score platform,Bangalore,"Sanjai Vohra, V. Bunty Bohra",Seed Funding,0,2016,11
2016-11-22,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,147000,2016,11
2016-11-23,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,20000000,2016,11
2016-11-23,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,600000,2016,11
2016-11-23,Udaan,eCommerce,B2B Marketplace,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,10000000,2016,11
2016-11-24,FroyoFit,Consumer Internet,Fitness Discovery Platform,Indore,Dr. Pooja Gandhi,Seed Funding,0,2016,11
2016-11-24,Betterplace,Consumer Internet,Background Verification Services,Bangalore,Venture Highway,Seed Funding,0,2016,11
2016-11-24,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,4000000,2016,11
2016-11-24,UClean,Consumer Internet,Tech Enabled Laundry Service Provider,Gurgaon,Franchise India,Private Equity,0,2016,11
2016-11-24,Servify,Consumer Internet,Personal Device Assistant App,Mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",Private Equity,0,2016,11
2016-11-25,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,Ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",Seed Funding,0,2016,11
2016-11-25,FunOnGo,Consumer Internet,Digital Media Content and Distribution platform,Mumbai,Reliance Entertainment,Private Equity,0,2016,11
2016-11-25,121Policy,Consumer Internet,Online Insurance Platform,Kolkata,Xelpmoc,Seed Funding,0,2016,11
2016-11-26,TapChief,Consumer Internet,Professional Expert Advice Platform,Bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",Seed Funding,0,2016,11
2016-11-28,Kloseby,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Undisclosed Investor,Seed Funding,100000,2016,11
2016-11-28,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000,2016,11
2016-11-29,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,Noida,Mohit Sharma,Seed Funding,0,2016,11
2016-11-29,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000,2016,11
2016-11-30,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000,2016,11
2016-11-30,ShopsUp,eCommerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,963000,2016,11
2016-11-30,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,150000,2016,11
2016-11-30,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,200000,2016,11
2016-11-30,MarianaIQ,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,2000000,2016,11
2016-11-30,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,Quarizon,Seed Funding,218000,2016,11
2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,100000,2016,11
2016-11-30,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,440000,2016,11
2016-11-30,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,500000,2016,11
2016-11-30,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,Bangalore,Blume Ventures & Others,Seed Funding,0,2016,11
2016-11-30,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,500000,2016,11
2016-10-03,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,0,2016,10
2016-10-03,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,5000000,2016,10
2016-10-03,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,0,2016,10
2016-10-03,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,2016,10
2016-10-03,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,200000,2016,10
2016-10-04,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,2016,10
2016-10-04,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,0,2016,10
2016-10-04,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,0,2016,10
2016-10-04,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000,2016,10
2016-10-04,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,2016,10
2016-10-04,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,2016,10
2016-10-04,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,0,2016,10
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000,2016,10
2016-10-04,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000,2016,10
2016-10-04,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,2016,10
2016-10-05,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,0,2016,10
2016-10-05,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,0,2016,10
2016-10-05,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,0,2016,10
2016-10-05,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,2016,10
2016-10-06,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,0,2016,10
2016-10-06,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,300000,2016,10
2016-10-06,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,0,2016,10
